数据下载时间：2021-07-01 09:45:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635282951035/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
60,t**5,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,没想到第一次尝试做冰粉就成功了✌！这个冰粉做出来和外面买的没啥区别，既便宜又方便！量也不错的，够我做好多次的啦！做好之后切一切随便加点小料水果就很好恰！开心！实现冰粉自由！,吃法多多，尝试多多！真的不管怎么做都感觉好棒哟！是夏天的感觉呀！冰冰凉凉的，口感也挺不错的！便宜实惠，一包可以做好多！多加点酸奶什么的也挺不错的！,-,2021-06-03
61,9**l,口味: 40g冰粉8袋,好评,可以的，推荐购买，第一次做就成功了，搭配山楂，挺好的。 ,-,-,2021-06-06
62,w**3,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,非常方便，送的红糖和伴侣刚好，推荐购买。,-,-,2021-06-05
63,k**蒋,口味: 40g冰粉1袋,好评,溶解难易：很好冲 ,-,-,2021-06-03
64,s**j,口味: 40g冰粉100袋商用,好评,物流很快，质量性价比很高，价格也很实惠，爱了，还会继续购买,-,-,2021-06-07
65,l**5,口味: 冰粉粉40g*5+液体红糖30g*5+花生碎100g*1,好评,味道挺好的，孩子喜欢，加一些提子加花生碎味道更好,-,-,2021-06-02
66,s**x,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,操作很简单，制作轻松，这个季节吃着自己做的冰粉很舒心。,-,-,2021-06-01
67,t**9,口味: 40g冰粉100袋商用,好评,做出来的东西真的很好吃。感觉超值啊，不贵,-,-,2021-06-06
68,k**9,口味: 40g冰粉5袋+5支30g红糖,好评,挺好，一次就做成功了，没有什么怪味，用完再来买 ,-,-,2021-05-28
69,y**8,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,很好，还送了小东西，很好，看起来就可口,-,-,2021-06-05
70,r**6,口味: 40g冰粉100袋商用,好评,冰粉粉的，很喜欢，味道也很好，很香，很好吃,-,-,2021-06-06
71,l**1,口味: 40g冰粉10袋+5支30g红糖+5支20g伴侣,好评,买了很多次，很喜欢，还推荐给了朋友们 ,-,-,2021-06-02
72,w**0,口味: 40g冰粉20袋,好评,n次回购啦 做冰粉用这个 挺好的 ,-,-,2021-06-07
73,你**4,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,准备一碗热水，放一勺左右的冰粉粉，静止大概2.3个小时左右差不多就凝固啦，店家还送了红糖和花生碎碎~口感和外面买的没啥区别~ ,挺好的，可以做很多碗啦，家人都很喜欢，不错的~,-,2021-05-25
74,b**2,口味: 冰粉粉40g*5+山楂碎100g*1,好评,很不错 ,-,-,2021-05-28
75,乐**融,口味: 40g冰粉5袋+5支30g红糖,好评,宝贝收到了，但是还没吃，店家还多送了两支红糖，谢谢啦。,-,-,2021-06-02
76,j**5,口味: 冰粉粉40g*5+液体红糖30g*5+花生碎100g*1,好评,非常不错，竟然成功了，好评好评,-,-,2021-06-03
77,爱**6,口味: 40g冰粉5袋+5支30g红糖,好评,试了一下，一次成功哈哈,-,-,2021-05-31
78,t**1,口味: 40g冰粉8袋,好评,做出来很成功，一袋做一锅,-,-,2021-05-23
79,泠**n,口味: 冰粉粉40g*5+液体红糖30g*5+花生碎100g*1,好评,还吃，做起来很方便 ,-,-,2021-06-08
80,l**1,口味: 40g冰粉5袋+5支30g红糖,好评,多次购买，喜欢喜欢 ,-,-,2021-06-02
81,b**到,口味: 冰粉5袋+3盒椰果40g,好评,用茶π做的茶冻，非常好 ,-,-,2021-06-03
82,小**9,口味: 40g冰粉20袋,好评,可以好吃,-,-,2021-06-04
83,汤**毅,口味: 40g冰粉5袋+5支30g红糖,好评,还不错，挺好,-,-,2021-06-04
84,艺**缘,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,货没收到，怎么不退款,-,-,2021-06-16
85,l**9,口味: 40g冰粉5袋+5支30g红糖,好评,还没吃，吃了在追评,-,-,2021-06-16
86,莲**9,口味: 40g冰粉20袋,好评,浪费了一袋，好评吧,-,-,2021-05-29
87,爱**1,口味: 40g冰粉5袋+5支30g红糖,好评,方便，好评,-,-,2021-06-01
88,树**晶,口味: 冰粉粉40g*5+液体红糖30g*5+花生碎100g*1,好评,不错，好评好评 ,-,-,2021-06-08
89,w**6,口味: 冰粉5袋+5支30g红糖+5包20g糖蜜红豆,好评,制作简单，这个份量自己做能省下好多钱,-,-,2021-05-22
90,鱼**0,口味: 冰粉粉40g*5+白芝麻100g*1,好评,口感不错，自己做很简单，大人小孩都喜欢 ,-,-,2021-05-21
91,胖**3,口味: 冰粉粉40g*5+液体红糖30g*5+葡萄干100g*1,好评,第一次做，很赞哦，外面卖卖5块钱一碗要的，放山楂特别好吃，,-,-,2021-05-16
92,水**宝,口味: 40g冰粉8袋,好评,透明冰凉，口感润滑，非常棒！ ,-,-,2021-05-14
93,5**头,口味: 40g冰粉5袋+5支30g红糖,好评,很好，发货很快！,-,-,2021-06-06
94,如**p,口味: 40g冰粉5袋+5支30g红糖,好评,做得时候非常成功凝结，水多少点没问题。 ,-,-,2021-05-17
95,毛**琦,口味: 冰粉粉40g*5+花生碎100g*1,好评,挺好的，我朋友吃了已经一人带走一包拿回去自己做了,-,-,2021-05-20
96,z**5,口味: 40g冰粉1袋,好评,第一次做冰粉，还挺成功的，家里人一人吃了一碗，很满意！ ,-,-,2021-05-19
97,1**y,口味: 40g冰粉8袋,好评,非常不错，很容易制作，简单方便好吃！ ,-,-,2021-05-17
98,d**x,口味: 40g冰粉5袋+5支30g红糖,好评,非常好吃😋的冰粉粉 ,-,-,2021-05-17
99,勇**v,口味: 40g冰粉8袋,好评,溶解难易：烧开热水加入适量的粉就制作完成了，简单好学 ,-,-,2021-05-11
100,x**鱼,口味: 40g冰粉5袋+5支30g红糖,好评,收到就做了味道还不错做法也简单。 ,-,-,2021-05-17
101,苏**闲,口味: 40g冰粉5袋+5支30g红糖,好评,还没开始做，做完来追评哈哈,-,-,2021-05-17
102,偏**3,口味: 冰粉粉40g*5+液体红糖30g*5+山楂碎100g*1,好评,简单好操作 ,-,-,2021-05-22
103,叶**辉,口味: 40g冰粉5袋+5支30g红糖,好评,霍霍两天 还不错,-,-,2021-05-20
104,不**少,口味: 40g冰粉5袋+5支30g红糖,好评,冰粉粉非常OK，凝固效果好,-,-,2021-05-10
105,t**4,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,挺不错的，,-,-,2021-06-17
106,y**2,口味: 40g冰粉5袋+5支30g红糖,好评,口味和实体店一样，价格实惠，比实体店便宜很多。,-,-,2021-05-20
107,x**7,口味: 40g冰粉5袋+5支30g红糖,好评,棒棒的 ,-,-,2021-05-16
108,我**6,口味: 40g冰粉8袋,好评,很容易上手做出来，挺好吃的，跟外面买的差不多，自己在家吃，只放了葡萄干和红糖水，好吃。 ,-,-,2021-05-11
109,w**0,口味: 40g冰粉20袋,好评,挺好的 买来做冰粉 价格比较实惠 ,-,-,2021-05-20
110,云**r,口味: 40g冰粉8袋,好评,差评是给客服和包装说明的！真是第一次见过这么不讲理甩锅的客服！ 第一：包装袋上说明说漏洞非常大！在锅中熬制2分钟凝固效果最佳！但客服说，熬制凝固效果最佳并不是熬到凝固。是熬两分钟关火冷却4小时。那可以写清楚啊！说明书上字面意思就是熬制凝固！并不是熬制冷却凝固。做法3步冷却也是放在先熬制凝固后冷却的。 第二：广告里并没有给做法不参考包装，问客服，或者给一个纸片或者打印一张纸单独给说明说！客服和我说包装内拥挤放不下！这是多拥挤？一片纸都放不下！ 第三：客服反复强调我们理解有误！我们就算理解有误也是你们包装说明有误！我发群里，所有人看了包装说明理解的都是熬制凝固，都不清楚熬到什么程度冷却！南方人从小就吃知道大概做法也就算了，对于北方人而言可不就是看说明书做东西！客服真是有意思！错了就是错了，不清楚就是不清楚，我好好和她说，她一个劲儿强调就是我们理解有问题而不是说明有问题！行吧！  ,-,-,2021-05-22
111,t**1,口味: 冰粉粉40g*5+液体红糖30g*5+花生碎100g*1,好评,质量很好的液体红糖 ,-,-,2021-05-23
112,l**u,口味: 冰粉粉40g*5+葡萄干100g*1,好评,不错，买来跟孩子一起做冰粉粉，简单好操作 ,-,-,2021-05-25
113,余**朵,口味: 40g冰粉1袋,好评,方便简单，一小袋可以做好几次,-,-,2021-05-22
114,l**9,口味: 40g冰粉1袋,好评,很好，做出来软硬适中，孩子喜欢吃,-,-,2021-05-24
115,f**6,口味: 40g冰粉5袋+5支30g红糖,好评,好评。经常买冰粉，但没有固定哪家买，这家的还不错。 ,-,-,2021-05-24
